# hstore_hash_ops benchmark, 1,000,000 rows, PG 20devel @ 16a4b3ef8ee, -O2 (cassert off)
# heap = 491 MB. Latency = repeated-subquery per-query time (ms): N identical scalar
# subqueries in one SELECT under \timing, per-query = total/N (N=100 fast, 20 slow).
# See BENCHMARK.md for methodology; generator bench/repeat.sh; decisive raw plans bench/raw/.
metric,gin_hstore_ops,gin_hstore_hash_ops,jsonb_ops,jsonb_path_ops
index_size_mb,29.17,30.83,29.17,30.83
build_time_s,6.65,3.12,5.52,3.39
q1_selective_at_shard_S777_ms,0.320,0.331,1.00,0.99
q2_medium_at_env_prod_ms,188.0,148.6,374.0,362.0
q3_multi_at_env_prod_tier_gold_ms,131.7,97.2,226.6,211.0
q4_negative_at_env_gold_ms,198.0,0.050,360.1,0.064
q4_negative_rows_removed_by_recheck,333575,0,333575,0
q5_key_exists_shard_ms,0.201,0.276,~0.6,n/a
# result-set sizes: q1=1000 q2=333756 q3=110641 q4=0 q5=1000
# seqscan baseline (@>), approximate: q1..q5 = 184 / 204 / 195 / 184 / 169 ms
# headline: q4 negative-pair @> hash 0.050 vs default 198.0 ms (~2000-4000x, run-to-run variance); q1 selective is a tie
